# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m
6.002167789365064010e+01,2.065081204427290495e-03,2.312252736136758205e-02
6.102202835853978513e+01,2.064171041353414678e-03,2.311283767939723705e-02
6.202237882342893016e+01,2.063261047364001437e-03,2.310314955679088414e-02
6.302272928831807519e+01,2.062351222485959371e-03,2.309346299396019750e-02
6.402307975320721312e+01,2.061441566746204448e-03,2.308377799131698660e-02
6.502343021809635104e+01,2.060532080171664782e-03,2.307409454927315459e-02
6.602378068298550318e+01,2.059622762789267182e-03,2.306441266824064626e-02
6.702413114787464110e+01,2.058713614625989636e-03,2.305473234863194762e-02
6.802448161276379324e+01,2.057804635708773266e-03,2.304505359085915958e-02
6.902483207765293116e+01,2.056895826064591721e-03,2.303537639533474388e-02
7.002518254254206909e+01,2.055987185720429926e-03,2.302570076247130795e-02
7.102553300743122122e+01,2.055078714703270637e-03,2.301602669268143844e-02
7.202588347232035915e+01,2.054170413040121764e-03,2.300635418637799953e-02
7.302623393720949707e+01,2.053262280757993385e-03,2.299668324397391439e-02
7.402658440209864921e+01,2.052354317883912059e-03,2.298701386588224843e-02
7.502693486698778713e+01,2.051446524444908680e-03,2.297734605251618156e-02
7.602728533187692506e+01,2.050538900468025418e-03,2.296767980428898737e-02
7.702763579676607719e+01,2.049631445980317889e-03,2.295801512161411290e-02
7.802798626165521512e+01,2.048724161008847779e-03,2.294835200490507807e-02
7.902833672654435304e+01,2.047817045580699758e-03,2.293869045457566647e-02
8.002868719143350518e+01,2.046910099722953295e-03,2.292903047103960965e-02
8.102903765632264310e+01,2.046003323462706504e-03,2.291937205471086120e-02
8.202938812121178103e+01,2.045096716827068777e-03,2.290971520600348921e-02
8.302973858610093316e+01,2.044190279843152973e-03,2.290005992533163462e-02
8.403008905099007109e+01,2.043284012538093206e-03,2.289040621310967083e-02
8.503043951587920901e+01,2.042377914939023584e-03,2.288075406975196777e-02
8.603078998076836115e+01,2.041471987073096000e-03,2.287110349567312781e-02
8.703114044565749907e+01,2.040566228967469285e-03,2.286145449128780885e-02
8.803149091054663700e+01,2.039660640649313544e-03,2.285180705701083878e-02
8.903184137543578913e+01,2.038755222145814498e-03,2.284216119325717387e-02
9.003219184032492706e+01,2.037849973484156130e-03,2.283251690044181895e-02
9.103254230521406498e+01,2.036944894691546711e-03,2.282287417898000090e-02
9.203289277010321712e+01,2.036039985795199281e-03,2.281323302928707150e-02
9.303324323499235504e+01,2.035135246822337724e-03,2.280359345177842764e-02
9.403359369988150718e+01,2.034230677800195463e-03,2.279395544686966396e-02
9.503394416477064510e+01,2.033326278756015463e-03,2.278431901497643755e-02
9.603429462965978303e+01,2.032422049717055867e-03,2.277468415651461020e-02
9.703464509454893516e+01,2.031517990710584361e-03,2.276505087190012697e-02
9.803499555943807309e+01,2.030614101763871665e-03,2.275541916154900576e-02
9.903534602432721101e+01,2.029710382904210183e-03,2.274578902587749002e-02
1.000356964892163631e+02,2.028806834158893187e-03,2.273616046530186827e-02
1.010360469541055011e+02,2.027903455555236500e-03,2.272653348023865108e-02
1.020363974189946390e+02,2.027000247120555945e-03,2.271690807110439067e-02
1.030367478838837911e+02,2.026097208882177321e-03,2.270728423831573986e-02
1.040370983487729291e+02,2.025194340867448543e-03,2.269766198228961515e-02
1.050374488136620670e+02,2.024291643103719261e-03,2.268804130344294345e-02
1.060377992785512191e+02,2.023389115618349967e-03,2.267842220219281474e-02
1.070381497434403570e+02,2.022486758438709828e-03,2.266880467895637102e-02
1.080385002083294950e+02,2.021584571592190561e-03,2.265918873415106657e-02
1.090388506732186471e+02,2.020682555106180413e-03,2.264957436819428974e-02
1.100392011381077850e+02,2.019780709008088884e-03,2.263996158150368213e-02
1.110395516029969230e+02,2.018879033325326772e-03,2.263035037449691658e-02
1.120399020678860751e+02,2.017977528085320490e-03,2.262074074759186024e-02
1.130402525327752130e+02,2.017076193315509459e-03,2.261113270120647042e-02
1.140406029976643509e+02,2.016175029043339173e-03,2.260152623575886061e-02
1.150409534625535031e+02,2.015274035296255126e-03,2.259192135166710955e-02
1.160413039274426410e+02,2.014373212101752252e-03,2.258231804934983725e-02
1.170416543923317931e+02,2.013472559487299463e-03,2.257271632922543125e-02
1.180420048572209311e+02,2.012572077480387356e-03,2.256311619171248728e-02
1.190423553221100690e+02,2.011671766108513466e-03,2.255351763722969818e-02
1.200427057869992211e+02,2.010771625399191808e-03,2.254392066619596499e-02
1.210430562518883590e+02,2.009871655379945939e-03,2.253432527903027199e-02
1.220434067167774970e+02,2.008971856078308523e-03,2.252473147615174226e-02
1.230437571816666491e+02,2.008072227521822198e-03,2.251513925797959600e-02
1.240441076465557870e+02,2.007172769738047816e-03,2.250554862493326855e-02
1.250444581114449250e+02,2.006273482754546665e-03,2.249595957743221603e-02
1.260448085763340771e+02,2.005374366598895210e-03,2.248637211589607152e-02
1.270451590412232150e+02,2.004475421298683793e-03,2.247678624074463116e-02
1.280455095061123529e+02,2.003576646881504494e-03,2.246720195239768764e-02
1.290458599710015051e+02,2.002678043374970206e-03,2.245761925127532851e-02
1.300462104358906572e+02,2.001779610806700329e-03,2.244803813779766913e-02
1.310465609007797809e+02,2.000881349204327274e-03,2.243845861238501216e-02
1.320469113656689331e+02,1.999983258595490389e-03,2.242888067545773662e-02
1.330472618305580852e+02,1.999085339007838132e-03,2.241930432743630824e-02
1.340476122954472089e+02,1.998187590469041076e-03,2.240972956874148075e-02
1.350479627603363610e+02,1.997290013006767194e-03,2.240015639979396969e-02
1.360483132252255132e+02,1.996392606648700503e-03,2.239058482101467448e-02
1.370486636901146369e+02,1.995495371422537165e-03,2.238101483282465068e-02
1.380490141550037890e+02,1.994598307355983750e-03,2.237144643564505792e-02
1.390493646198929412e+02,1.993701414476762006e-03,2.236187962989724318e-02
1.400497150847820649e+02,1.992804692812576769e-03,2.235231441600239732e-02
1.410500655496712170e+02,1.991908142391200960e-03,2.234275079438241551e-02
1.420504160145603691e+02,1.991011763240366737e-03,2.233318876545880780e-02
1.430507664794494929e+02,1.990115555387836615e-03,2.232362832965339994e-02
1.440511169443386450e+02,1.989219518861380914e-03,2.231406948738811832e-02
1.450514674092277971e+02,1.988323653688782965e-03,2.230451223908504199e-02
1.460518178741169208e+02,1.987427959897832604e-03,2.229495658516633325e-02
1.470521683390060730e+02,1.986532437516338317e-03,2.228540252605436603e-02
1.480525188038952251e+02,1.985637086572110323e-03,2.227585006217154204e-02
1.490528692687843488e+02,1.984741907092977056e-03,2.226629919394047460e-02
1.500532197336735010e+02,1.983846899106774322e-03,2.225674992178385686e-02
1.510535701985626531e+02,1.982952062641349638e-03,2.224720224612454500e-02
1.520539206634517768e+02,1.982057397724570035e-03,2.223765616738558604e-02
1.530542711283409290e+02,1.981162904384285630e-03,2.222811168598987780e-02
1.540546215932300811e+02,1.980268582648386441e-03,2.221856880236076220e-02
1.550549720581192048e+02,1.979374432544763786e-03,2.220902751692158117e-02
1.560553225230083569e+02,1.978480454101319824e-03,2.219948783009582927e-02
1.570556729878975091e+02,1.977586647345962352e-03,2.218994974230707393e-02
1.580560234527866328e+02,1.976693012306619986e-03,2.218041325397909422e-02
1.590563739176757849e+02,1.975799549011225675e-03,2.217087836553575941e-02
1.600567243825649371e+02,1.974906257487727117e-03,2.216134507740108450e-02
1.610570748474540608e+02,1.974013137764079814e-03,2.215181338999919550e-02
1.620574253123432129e+02,1.973120189868250544e-03,2.214228330375433290e-02
1.630577757772323650e+02,1.972227413828215627e-03,2.213275481909088641e-02
1.640581262421214888e+02,1.971334809671968294e-03,2.212322793643339489e-02
1.650584767070106409e+02,1.970442377427505682e-03,2.211370265620648395e-02
1.660588271718997930e+02,1.969550117122841840e-03,2.210417897883496657e-02
1.670591776367889167e+02,1.968658028785996456e-03,2.209465690474371816e-02
1.680595281016780689e+02,1.967766112445006130e-03,2.208513643435781187e-02
1.690598785665672210e+02,1.966874368127910066e-03,2.207561756810236253e-02
1.700602290314563447e+02,1.965982795862766547e-03,2.206610030640271045e-02
1.710605794963454969e+02,1.965091395677643401e-03,2.205658464968429308e-02
1.720609299612346490e+02,1.964200167600613223e-03,2.204707059837262076e-02
1.730612804261237727e+02,1.963309111659766390e-03,2.203755815289340850e-02
1.740616308910129248e+02,1.962418227883203255e-03,2.202804731367248928e-02
1.750619813559020770e+02,1.961527516299033276e-03,2.201853808113579322e-02
1.760623318207912007e+02,1.960636976935372418e-03,2.200903045570935801e-02
1.770626822856803528e+02,1.959746609820361366e-03,2.199952443781948500e-02
1.780630327505695050e+02,1.958856414982140370e-03,2.199002002789246513e-02
1.790633832154586571e+02,1.957966392448863124e-03,2.198051722635478017e-02
1.800637336803477808e+02,1.957076542248692430e-03,2.197101603363299516e-02
1.810640841452369330e+02,1.956186864409806703e-03,2.196151645015386594e-02
1.820644346101260851e+02,1.955297358960397369e-03,2.195201847634429410e-02
1.830647850750152088e+02,1.954408025928652815e-03,2.194252211263117078e-02
1.840651355399043609e+02,1.953518865342788319e-03,2.193302735944167858e-02
1.850654860047935131e+02,1.952629877231023929e-03,2.192353421720306603e-02
1.860658364696826368e+02,1.951741061621593137e-03,2.191404268634274122e-02
1.870661869345717889e+02,1.950852418542736808e-03,2.190455276728819206e-02
1.880665373994609411e+02,1.949963948022692553e-03,2.189506446046690299e-02
1.890668878643500648e+02,1.949075650089755014e-03,2.188557776630695867e-02
1.900672383292392169e+02,1.948187524772185871e-03,2.187609268523612455e-02
1.910675887941283690e+02,1.947299572098270875e-03,2.186660921768242283e-02
1.920679392590174928e+02,1.946411792096309872e-03,2.185712736407404572e-02
1.930682897239066449e+02,1.945524184794611162e-03,2.184764712483928256e-02
1.940686401887957970e+02,1.944636750221491071e-03,2.183816850040652680e-02
1.950689906536849207e+02,1.943749488405289560e-03,2.182869149120442512e-02
1.960693411185740729e+02,1.942862399374337915e-03,2.181921609766156178e-02
1.970696915834632250e+02,1.941975483156996914e-03,2.180974232020684370e-02
1.980700420483523487e+02,1.941088739781629720e-03,2.180027015926920553e-02
1.990703925132415009e+02,1.940202169276612721e-03,2.179079961527773807e-02
2.000707429781306530e+02,1.939315771670329898e-03,2.178133068866164312e-02
2.010710934430197767e+02,1.938429546991183444e-03,2.177186337985029252e-02
2.020714439079089288e+02,1.937543495267580540e-03,2.176239768927317950e-02
2.030717943727980810e+02,1.936657616527942462e-03,2.175293361735990832e-02
2.040721448376872047e+02,1.935771910800692872e-03,2.174347116454014572e-02
2.050724953025763568e+02,1.934886378114285136e-03,2.173401033124388454e-02
2.060728457674655090e+02,1.934001018497166768e-03,2.172455111790107599e-02
2.070731962323546327e+02,1.933115831977805666e-03,2.171509352494187944e-02
2.080735466972437848e+02,1.932230818584676447e-03,2.170563755279655491e-02
2.090738971621329370e+02,1.931345978346266090e-03,2.169618320189551502e-02
2.100742476270220607e+02,1.930461311291072632e-03,2.168673047266928694e-02
2.110745980919112128e+02,1.929576817447605603e-03,2.167727936554853310e-02
2.120749485568003649e+02,1.928692496844391013e-03,2.166782988096411719e-02
2.130752990216894887e+02,1.927808349509951835e-03,2.165838201934687512e-02
2.140756494865786408e+02,1.926924375472831210e-03,2.164893578112786834e-02
2.150759999514677929e+02,1.926040574761587673e-03,2.163949116673834216e-02
2.160763504163569166e+02,1.925156947393809803e-03,2.163004817033033558e-02
2.170767008812460688e+02,1.924272843533467994e-03,2.162030943588785434e-02
2.180770513461352209e+02,1.923386563775912692e-03,2.160951316840494310e-02
2.190774018110243446e+02,1.922497127397813444e-03,2.159722079569955169e-02
2.200777522759134968e+02,1.921603748378481608e-03,2.158307911586551664e-02
2.210781027408026489e+02,1.920705567278223076e-03,2.156670186342746903e-02
2.220784532056917726e+02,1.919801723726119892e-03,2.154770246450647339e-02
