# sloughing=True,sloughing_time=156.79207643995113
time_s,h_total_m,h_crit_m
5.401552399942637805e+01,2.967936524515510897e-03,8.630709605683208746e-03
5.501579816414982815e+01,2.964801907258397731e-03,8.622209187905266470e-03
5.601607232887328536e+01,2.961669178908100247e-03,8.613713710675676566e-03
5.701634649359673546e+01,2.958538339937713535e-03,8.605223175600303781e-03
5.801662065832018556e+01,2.955409390820089386e-03,8.596737584284284278e-03
5.901689482304363565e+01,2.952282332027782955e-03,8.588256938331909410e-03
6.001716898776709286e+01,2.949157164033117378e-03,8.579781239346740210e-03
6.101744315249054296e+01,2.946033887308122188e-03,8.571310488931487698e-03
6.201771731721399306e+01,2.942912502324556735e-03,8.562844688688057981e-03
6.301799148193744315e+01,2.939793009553918861e-03,8.554383840217586951e-03
6.401826564666089325e+01,2.936675409467397625e-03,8.545927945120289360e-03
6.501853981138434335e+01,2.933559702535919710e-03,8.537477004995625354e-03
6.601881397610780766e+01,2.930445889230142483e-03,8.529031021442213742e-03
6.701908814083125776e+01,2.927333970020431879e-03,8.520589996057849336e-03
6.801936230555470786e+01,2.924223945376874974e-03,8.512153930439476934e-03
6.901963647027815796e+01,2.921115815769237921e-03,8.503722826183120198e-03
7.001991063500160806e+01,2.918009581667030134e-03,8.495296684884020427e-03
7.102018479972505816e+01,2.914905243539458318e-03,8.486875508136532478e-03
7.202045896444850825e+01,2.911802801855447285e-03,8.478459297534175071e-03
7.302073312917197256e+01,2.908702257083593552e-03,8.470048054669504153e-03
7.402100729389542266e+01,2.905603609692223015e-03,8.461641781134265558e-03
7.502128145861887276e+01,2.902506860149352795e-03,8.453240478519315204e-03
7.602155562334232286e+01,2.899412008922712045e-03,8.444844148414617363e-03
7.702182978806577296e+01,2.896319056479692081e-03,8.436452792409190882e-03
7.802210395278922306e+01,2.893228003287397123e-03,8.428066412091161225e-03
7.902237811751267316e+01,2.890138849812622177e-03,8.419685009047788229e-03
8.002265228223612326e+01,2.887051596521853902e-03,8.411308584865367227e-03
8.102292644695958757e+01,2.883966243881250224e-03,8.402937141129281085e-03
8.202320061168303766e+01,2.880882792356676339e-03,8.394570679424014081e-03
8.302347477640648776e+01,2.877801242413644423e-03,8.386209201333013133e-03
8.402374894112993786e+01,2.874721594517373486e-03,8.377852708438880344e-03
8.502402310585338796e+01,2.871643849132751204e-03,8.369501202323230762e-03
8.602429727057683806e+01,2.868568006724345198e-03,8.361154684566730541e-03
8.702457143530028816e+01,2.865494067756390022e-03,8.352813156749074389e-03
8.802484560002373826e+01,2.862422032692779790e-03,8.344476620448952608e-03
8.902511976474720257e+01,2.859351901997096799e-03,8.336145077244141305e-03
9.002539392947065267e+01,2.856283676132585943e-03,8.327818528711431259e-03
9.102566809419410276e+01,2.853217355562148640e-03,8.319496976426577622e-03
9.202594225891755286e+01,2.850152940748348039e-03,8.311180421964364101e-03
9.302621642364100296e+01,2.847090432153406847e-03,8.302868866898564792e-03
9.402649058836445306e+01,2.844029830239208200e-03,8.294562312801971940e-03
9.502676475308790316e+01,2.840971135467283085e-03,8.286260761246312667e-03
9.602703891781136747e+01,2.837914348298819014e-03,8.277964213802335713e-03
9.702731308253481757e+01,2.834859469194649182e-03,8.269672672039736841e-03
9.802758724725826767e+01,2.831806498615256802e-03,8.261386137527181386e-03
9.902786141198171777e+01,2.828755437020773374e-03,8.253104611832304260e-03
1.000281355767051679e+02,2.825706284870969139e-03,8.244828096521682192e-03
1.010284097414286180e+02,2.822659042625256989e-03,8.236556593160837200e-03
1.020286839061520681e+02,2.819613710742674244e-03,8.228290103314215773e-03
1.030289580708755182e+02,2.816570289681922992e-03,8.220028628545242647e-03
1.040292322355989825e+02,2.813528779901305465e-03,8.211772170416204580e-03
1.050295064003224326e+02,2.810489181858781289e-03,8.203520730488354437e-03
1.060297805650458827e+02,2.807451496011913270e-03,8.195274310321807101e-03
1.070300547297693328e+02,2.804415722817911200e-03,8.187032911475626215e-03
1.080303288944927829e+02,2.801381862733603664e-03,8.178796535507768667e-03
1.090306030592162330e+02,2.798349916215431103e-03,8.170565183975062040e-03
1.100308772239396831e+02,2.795319883719463161e-03,8.162338858433223696e-03
1.110311513886631332e+02,2.792291765701379169e-03,8.154117560436839954e-03
1.120314255533865975e+02,2.789265562616474216e-03,8.145901291539392117e-03
1.130316997181100476e+02,2.786241274919645274e-03,8.137690053293167997e-03
1.140319738828334977e+02,2.783218903065421551e-03,8.129483847249402428e-03
1.150322480475569478e+02,2.780198447507912021e-03,8.121282674958076042e-03
1.160325222122803979e+02,2.777179908700857461e-03,8.113086537968114756e-03
1.170327963770038480e+02,2.774163287097571474e-03,8.104895437827192017e-03
1.180330705417272981e+02,2.771148583150984286e-03,8.096709376081845030e-03
1.190333447064507624e+02,2.768135797313615865e-03,8.088528354277426183e-03
1.200336188711742125e+02,2.765124930037577214e-03,8.080352373958101311e-03
1.210338930358976626e+02,2.762115981774584256e-03,8.072181436666854906e-03
1.220341672006211127e+02,2.759108952975930940e-03,8.064015543945464090e-03
1.230344413653445628e+02,2.756103844092499654e-03,8.055854697334489944e-03
1.240347155300680129e+02,2.753100655574757319e-03,8.047698898373282714e-03
1.250349896947914630e+02,2.750099387872738908e-03,8.039548148599943642e-03
1.260352638595149131e+02,2.747100041436089518e-03,8.031402449551416911e-03
1.270355380242383774e+02,2.744102616713994976e-03,8.023261802763316172e-03
1.280358121889618133e+02,2.741107114155236918e-03,8.015126209770078933e-03
1.290360863536852776e+02,2.738112036634893914e-03,8.006738465805711066e-03
1.300363605184087135e+02,2.735109567270687346e-03,7.996760388509884313e-03
1.310366346831321778e+02,2.732094124750772228e-03,7.984237335131611629e-03
1.320369088478556421e+02,2.729061942112020415e-03,7.968524580409730093e-03
1.330371830125790780e+02,2.726010021149237808e-03,7.949108652009682224e-03
1.340374571773025423e+02,2.722935528076218283e-03,7.925503965371739554e-03
1.350377313420259782e+02,2.719835858955805229e-03,7.897264087682426617e-03
1.360380055067494425e+02,2.716708714103828557e-03,7.863994371524964458e-03
1.370382796714728784e+02,2.713551903912758256e-03,7.825318642701131408e-03
1.380385538361963427e+02,2.710363085598537294e-03,7.780834138118350451e-03
1.390388280009198070e+02,2.707139956891071921e-03,7.730144662632927252e-03
1.400391021656432429e+02,2.703880502436604126e-03,7.672902732793630137e-03
1.410393763303667072e+02,2.700582846814115340e-03,7.608784207911615388e-03
1.420396504950901431e+02,2.697244920917653017e-03,7.537431232014059693e-03
1.430399246598136074e+02,2.693864764607934500e-03,7.458504057955207822e-03
1.440401988245370433e+02,2.690440671922041116e-03,7.371705807919699122e-03
1.450404729892605076e+02,2.686971014153919594e-03,7.276752068221566463e-03
1.460407471539839719e+02,2.683454083335269722e-03,7.173344132780168705e-03
1.470410213187074078e+02,2.679888454209657361e-03,7.061230996291937775e-03
1.480412954834308721e+02,2.676273228276652635e-03,6.940251282739820851e-03
1.490415696481543080e+02,2.672607891056751409e-03,6.810309066757171473e-03
1.500418438128777723e+02,2.668883956887111580e-03,6.476157029422783401e-03
1.510421179776012082e+02,2.664944456592758647e-03,5.561582077978979854e-03
1.520423921423246725e+02,2.660583332302300912e-03,4.820623233104844030e-03
1.530426663070481084e+02,2.655765847636062070e-03,4.251949082855167698e-03
1.540429404717715727e+02,2.650625130254327926e-03,3.824349769294784016e-03
1.550432146364950370e+02,2.645421777673486602e-03,3.496746447680632811e-03
1.560434888012184729e+02,2.640437016359857732e-03,3.233247013235779951e-03
1.567920764399511313e+02,2.605862601249986019e-03,1.706191436008855670e-03
